Station,X,Y
Angle Lake,47.423063,-122.297785
SeaTac,47.45371,-122.321791
Tukwila,47.4602,-122.2405
Rainier Beach,47.522611,-122.279361
Othello,47.537917,-122.281528
Columbia City,47.55944,-122.2925
Mount Baker,47.576583,-122.297694
Beacon Hill,47.57944,-122.31139
Sodo,47.581278,-122.327389
Stadium,47.591333,-122.327167
Internationa District,47.59833,-122.32806
Pioneer Square,47.60278,-122.33139
Symphony,47.60778,-122.33611
Westlake,47.61139,-122.33722
Capitol Hill,47.61861,-122.32028
University of Washington,47.64972,-122.3038
Udistrict,47.66056,-122.31417
Roosevelt,47.67667,-122.31556
Northgate,47.70306,-122.32806
Shoreline South,47.736126,-122.325243
Shoreline North,47.76417,-122.32278
Mountlake Terrace,47.78556,-122.31472
Lynnwood City Center,47.81564,-122.29473
